<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
PPX-TDG,1,20211206,100100,686.8000000,686.8000000,686.8000000,686.8000000
PPX-TDG,1,20211206,100600,686.6000000,686.6000000,686.6000000,686.6000000
PPX-TDG,1,20211206,104300,687.5000000,687.5000000,687.5000000,687.5000000
PPX-TDG,1,20211206,105000,687.9000000,687.9000000,687.9000000,687.9000000
PPX-TDG,1,20211206,110800,685.5000000,685.5000000,685.5000000,685.5000000
PPX-TDG,1,20211206,111000,685.9000000,685.9000000,685.9000000,685.9000000
PPX-TDG,1,20211206,112000,682.0000000,682.0000000,682.0000000,682.0000000
PPX-TDG,1,20211206,112300,680.1000000,680.1000000,679.8000000,679.8000000
PPX-TDG,1,20211206,112500,679.5000000,679.5000000,679.0000000,679.0000000
PPX-TDG,1,20211206,113000,677.1000000,677.1000000,677.0000000,677.0000000
PPX-TDG,1,20211206,113200,676.8000000,676.8000000,676.8000000,676.8000000
PPX-TDG,1,20211206,113600,679.2000000,679.2000000,679.2000000,679.2000000
PPX-TDG,1,20211206,115000,677.3000000,677.3000000,677.3000000,677.3000000
PPX-TDG,1,20211206,115600,680.4000000,680.4000000,680.4000000,680.4000000
PPX-TDG,1,20211206,121200,683.2000000,683.2000000,683.2000000,683.2000000
PPX-TDG,1,20211206,121500,683.3000000,683.3000000,683.3000000,683.3000000
PPX-TDG,1,20211206,123500,683.0000000,683.0000000,683.0000000,683.0000000
PPX-TDG,1,20211206,125300,681.6000000,681.6000000,681.6000000,681.6000000
PPX-TDG,1,20211206,130500,681.6000000,681.6000000,681.6000000,681.6000000
PPX-TDG,1,20211206,132700,679.3000000,679.3000000,679.3000000,679.3000000
PPX-TDG,1,20211206,140800,683.7000000,683.7000000,683.7000000,683.7000000
PPX-TDG,1,20211206,142100,684.0000000,684.0000000,684.0000000,684.0000000
PPX-TDG,1,20211206,150200,687.9000000,687.9000000,687.9000000,687.9000000
PPX-TDG,1,20211206,153200,687.0000000,687.0000000,687.0000000,687.0000000
PPX-TDG,1,20211206,162400,688.8000000,688.8000000,688.8000000,688.8000000
PPX-TDG,1,20211206,164200,690.1000000,690.1000000,690.1000000,690.1000000
PPX-TDG,1,20211206,164400,690.0000000,690.0000000,690.0000000,690.0000000
PPX-TDG,1,20211206,170100,690.4000000,690.4000000,690.4000000,690.4000000
PPX-TDG,1,20211206,171800,691.4000000,691.4000000,691.0000000,691.0000000
PPX-TDG,1,20211206,173400,691.4000000,691.4000000,691.4000000,691.4000000
PPX-TDG,1,20211206,180000,693.4000000,693.4000000,693.4000000,693.4000000
PPX-TDG,1,20211206,181300,695.8000000,695.8000000,695.8000000,695.8000000
PPX-TDG,1,20211206,181600,696.0000000,696.0000000,696.0000000,696.0000000
PPX-TDG,1,20211206,183400,696.4000000,696.4000000,696.4000000,696.4000000
PPX-TDG,1,20211206,190900,697.5000000,697.5000000,697.5000000,697.5000000
PPX-TDG,1,20211206,191100,697.4000000,697.4000000,697.4000000,697.4000000
PPX-TDG,1,20211206,191600,696.1000000,696.1000000,696.1000000,696.1000000
PPX-TDG,1,20211206,191700,696.2000000,696.2000000,696.2000000,696.2000000
PPX-TDG,1,20211206,194300,695.1000000,695.1000000,695.1000000,695.1000000
PPX-TDG,1,20211206,205700,697.2000000,697.2000000,697.2000000,697.2000000
PPX-TDG,1,20211206,220500,697.1000000,697.1000000,696.5000000,696.5000000
PPX-TDG,1,20211206,230200,696.1000000,696.1000000,696.1000000,696.1000000
PPX-TDG,1,20211206,233400,695.7000000,695.7000000,695.7000000,695.7000000
PPX-TDG,1,20211207,000300,695.4000000,695.4000000,695.4000000,695.4000000
PPX-TDG,1,20211207,002700,695.4000000,695.4000000,695.4000000,695.4000000
PPX-TDG,1,20211207,100100,697.6000000,697.6000000,697.6000000,697.6000000
PPX-TDG,1,20211207,104100,698.8000000,698.8000000,698.8000000,698.8000000
PPX-TDG,1,20211207,110200,706.0000000,706.0000000,706.0000000,706.0000000
PPX-TDG,1,20211207,110600,705.7000000,707.5000000,705.7000000,707.5000000
PPX-TDG,1,20211207,110900,707.5000000,707.5000000,707.5000000,707.5000000
PPX-TDG,1,20211207,111100,710.0000000,710.4000000,710.0000000,710.4000000
PPX-TDG,1,20211207,111600,711.0000000,711.0000000,711.0000000,711.0000000
PPX-TDG,1,20211207,112400,715.7000000,715.7000000,715.7000000,715.7000000
PPX-TDG,1,20211207,112700,717.3000000,717.3000000,717.3000000,717.3000000
PPX-TDG,1,20211207,113200,717.4000000,717.4000000,717.4000000,717.4000000
PPX-TDG,1,20211207,113400,716.8000000,716.8000000,716.8000000,716.8000000
PPX-TDG,1,20211207,113700,716.9000000,716.9000000,716.9000000,716.9000000
PPX-TDG,1,20211207,114100,716.9000000,716.9000000,716.9000000,716.9000000
PPX-TDG,1,20211207,114700,717.1000000,717.1000000,717.1000000,717.1000000
PPX-TDG,1,20211207,115100,716.3000000,716.3000000,716.3000000,716.3000000
PPX-TDG,1,20211207,115600,717.1000000,717.3000000,717.1000000,717.3000000
PPX-TDG,1,20211207,115900,717.1000000,717.1000000,717.1000000,717.1000000
PPX-TDG,1,20211207,120900,717.6000000,717.6000000,717.6000000,717.6000000
PPX-TDG,1,20211207,122200,717.2000000,717.2000000,717.2000000,717.2000000
PPX-TDG,1,20211207,122300,717.6000000,717.6000000,717.6000000,717.6000000
PPX-TDG,1,20211207,123500,718.4000000,718.4000000,718.4000000,718.4000000
PPX-TDG,1,20211207,123600,718.1000000,718.1000000,718.1000000,718.1000000
PPX-TDG,1,20211207,123700,718.0000000,718.0000000,718.0000000,718.0000000
PPX-TDG,1,20211207,123900,718.4000000,718.4000000,718.4000000,718.4000000
PPX-TDG,1,20211207,124000,718.6000000,718.6000000,718.6000000,718.6000000
PPX-TDG,1,20211207,124300,719.4000000,719.4000000,719.4000000,719.4000000
PPX-TDG,1,20211207,125600,721.0000000,721.0000000,721.0000000,721.0000000
PPX-TDG,1,20211207,130200,720.5000000,720.5000000,720.5000000,720.5000000
PPX-TDG,1,20211207,131900,725.0000000,725.0000000,725.0000000,725.0000000
PPX-TDG,1,20211207,132000,724.0000000,724.0000000,724.0000000,724.0000000
PPX-TDG,1,20211207,132100,724.2000000,724.2000000,724.2000000,724.2000000
PPX-TDG,1,20211207,132200,724.8000000,724.8000000,724.8000000,724.8000000
PPX-TDG,1,20211207,132300,724.8000000,724.8000000,724.8000000,724.8000000
PPX-TDG,1,20211207,133600,722.8000000,722.8000000,722.8000000,722.8000000
PPX-TDG,1,20211207,133700,723.0000000,723.0000000,723.0000000,723.0000000
PPX-TDG,1,20211207,134100,724.7000000,724.7000000,724.7000000,724.7000000
PPX-TDG,1,20211207,135800,724.9000000,724.9000000,724.9000000,724.9000000
PPX-TDG,1,20211207,142100,724.1000000,724.1000000,724.1000000,724.1000000
PPX-TDG,1,20211207,142600,723.4000000,723.4000000,723.4000000,723.4000000
PPX-TDG,1,20211207,143100,723.7000000,723.7000000,723.7000000,723.7000000
PPX-TDG,1,20211207,143500,723.8000000,723.9000000,723.8000000,723.9000000
PPX-TDG,1,20211207,151900,725.0000000,725.0000000,725.0000000,725.0000000
PPX-TDG,1,20211207,153600,726.4000000,726.4000000,726.4000000,726.4000000
PPX-TDG,1,20211207,153900,725.9000000,725.9000000,725.9000000,725.9000000
PPX-TDG,1,20211207,154500,725.7000000,725.7000000,725.7000000,725.7000000
PPX-TDG,1,20211207,154600,725.3000000,725.3000000,725.3000000,725.3000000
PPX-TDG,1,20211207,155400,725.3000000,725.3000000,725.3000000,725.3000000
PPX-TDG,1,20211207,160900,727.0000000,727.0000000,727.0000000,727.0000000
PPX-TDG,1,20211207,161000,727.9000000,727.9000000,727.9000000,727.9000000
