<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
PPX-TDG,60,20211207,010000,695.4000000,695.4000000,695.4000000,695.4000000
PPX-TDG,60,20211207,110000,697.6000000,698.8000000,697.6000000,698.8000000
PPX-TDG,60,20211207,120000,706.0000000,717.4000000,705.7000000,717.1000000
PPX-TDG,60,20211207,130000,717.6000000,721.0000000,717.2000000,721.0000000
PPX-TDG,60,20211207,140000,720.5000000,725.0000000,720.5000000,724.9000000
PPX-TDG,60,20211207,150000,724.1000000,724.1000000,723.4000000,723.9000000
PPX-TDG,60,20211207,160000,725.0000000,726.4000000,725.0000000,725.3000000
PPX-TDG,60,20211207,170000,727.0000000,728.5000000,727.0000000,727.1000000
PPX-TDG,60,20211207,180000,728.6000000,728.6000000,728.1000000,728.1000000
PPX-TDG,60,20211207,190000,730.1000000,731.8000000,729.9000000,731.8000000
PPX-TDG,60,20211207,200000,731.5000000,735.0000000,731.5000000,735.0000000
PPX-TDG,60,20211207,210000,734.0000000,734.0000000,733.2000000,733.8000000
PPX-TDG,60,20211207,220000,733.0000000,734.4000000,733.0000000,734.4000000
PPX-TDG,60,20211207,230000,735.1000000,737.2000000,735.1000000,737.2000000
PPX-TDG,60,20211208,000000,735.9000000,735.9000000,735.2000000,735.2000000
PPX-TDG,60,20211208,010000,736.4000000,736.4000000,736.4000000,736.4000000
PPX-TDG,60,20211208,110000,736.5000000,737.5000000,736.5000000,737.0000000
PPX-TDG,60,20211208,120000,733.5000000,733.5000000,732.0000000,733.1000000
PPX-TDG,60,20211208,130000,739.7000000,739.7000000,725.3000000,725.3000000
PPX-TDG,60,20211208,140000,726.1000000,726.1000000,720.6000000,721.9000000
PPX-TDG,60,20211208,150000,723.1000000,723.1000000,721.1000000,722.4000000
PPX-TDG,60,20211208,160000,722.3000000,723.5000000,722.3000000,722.5000000
PPX-TDG,60,20211208,180000,721.6000000,722.8000000,721.6000000,722.8000000
PPX-TDG,60,20211208,190000,724.0000000,724.0000000,719.8000000,720.8000000
PPX-TDG,60,20211208,200000,718.9000000,718.9000000,717.4000000,717.4000000
PPX-TDG,60,20211208,210000,718.7000000,718.7000000,718.4000000,718.4000000
PPX-TDG,60,20211208,230000,719.2000000,719.2000000,719.2000000,719.2000000
PPX-TDG,60,20211209,000000,720.1000000,720.1000000,720.1000000,720.1000000
PPX-TDG,60,20211209,010000,719.8000000,719.8000000,719.8000000,719.8000000
PPX-TDG,60,20211209,110000,719.1000000,719.1000000,719.1000000,719.1000000
PPX-TDG,60,20211209,120000,719.0000000,719.0000000,716.1000000,716.1000000
PPX-TDG,60,20211209,130000,711.0000000,711.0000000,711.0000000,711.0000000
PPX-TDG,60,20211209,140000,710.0000000,710.0000000,705.7000000,708.1000000
PPX-TDG,60,20211209,150000,705.2000000,705.2000000,705.2000000,705.2000000
PPX-TDG,60,20211209,170000,707.0000000,707.4000000,707.0000000,707.4000000
PPX-TDG,60,20211209,180000,707.6000000,707.6000000,706.0000000,706.3000000
PPX-TDG,60,20211209,190000,706.6000000,707.0000000,706.6000000,707.0000000
PPX-TDG,60,20211209,200000,707.5000000,708.9000000,707.5000000,708.9000000
PPX-TDG,60,20211209,210000,709.3000000,709.3000000,708.8000000,708.8000000
PPX-TDG,60,20211209,220000,708.3000000,708.3000000,707.0000000,707.0000000
PPX-TDG,60,20211209,230000,705.2000000,705.2000000,705.2000000,705.2000000
PPX-TDG,60,20211210,010000,705.2000000,705.2000000,705.2000000,705.2000000
PPX-TDG,60,20211210,110000,705.5000000,705.8000000,705.5000000,705.8000000
PPX-TDG,60,20211210,120000,702.6000000,705.1000000,702.6000000,705.1000000
PPX-TDG,60,20211210,130000,704.6000000,704.6000000,704.5000000,704.6000000
PPX-TDG,60,20211210,140000,702.7000000,704.0000000,702.1000000,704.0000000
PPX-TDG,60,20211210,150000,708.8000000,708.8000000,708.8000000,708.8000000
PPX-TDG,60,20211210,160000,706.2000000,706.3000000,706.2000000,706.3000000
PPX-TDG,60,20211210,170000,705.6000000,706.5000000,705.6000000,706.5000000
PPX-TDG,60,20211210,180000,705.2000000,705.2000000,702.5000000,702.5000000
PPX-TDG,60,20211210,190000,700.9000000,702.0000000,700.9000000,701.4000000
PPX-TDG,60,20211210,200000,701.1000000,701.2000000,698.9000000,701.2000000
PPX-TDG,60,20211210,210000,700.5000000,700.5000000,700.5000000,700.5000000
PPX-TDG,60,20211210,220000,701.9000000,702.4000000,701.9000000,702.4000000
PPX-TDG,60,20211210,230000,701.1000000,701.1000000,701.1000000,701.1000000
PPX-TDG,60,20211211,010000,703.2000000,703.2000000,703.2000000,703.2000000
PPX-TDG,60,20211213,120000,704.5000000,704.5000000,699.8000000,702.5000000
PPX-TDG,60,20211213,130000,703.0000000,704.3000000,703.0000000,704.3000000
PPX-TDG,60,20211213,140000,702.1000000,702.1000000,700.0000000,701.6000000
PPX-TDG,60,20211213,150000,699.0000000,701.6000000,699.0000000,701.6000000
PPX-TDG,60,20211213,160000,700.9000000,701.0000000,700.7000000,701.0000000
PPX-TDG,60,20211213,170000,702.1000000,702.1000000,700.0000000,701.3000000
PPX-TDG,60,20211213,180000,700.0000000,700.0000000,698.0000000,698.1000000
PPX-TDG,60,20211213,190000,697.5000000,697.5000000,694.7000000,694.7000000
PPX-TDG,60,20211213,200000,693.1000000,694.8000000,693.1000000,694.8000000
PPX-TDG,60,20211213,210000,694.2000000,695.4000000,694.2000000,695.4000000
PPX-TDG,60,20211213,220000,694.6000000,706.3000000,694.6000000,697.3000000
PPX-TDG,60,20211213,230000,696.5000000,696.5000000,695.0000000,695.0000000
PPX-TDG,60,20211214,000000,697.0000000,697.0000000,697.0000000,697.0000000
PPX-TDG,60,20211214,010000,696.0000000,696.0000000,696.0000000,696.0000000
PPX-TDG,60,20211214,120000,698.3000000,698.3000000,697.6000000,697.6000000
PPX-TDG,60,20211214,130000,695.6000000,697.3000000,695.6000000,697.3000000
PPX-TDG,60,20211214,140000,695.2000000,695.2000000,693.1000000,693.1000000
PPX-TDG,60,20211214,150000,695.0000000,695.0000000,695.0000000,695.0000000
PPX-TDG,60,20211214,160000,693.2000000,694.0000000,693.2000000,694.0000000
PPX-TDG,60,20211214,170000,694.5000000,694.5000000,693.1000000,694.2000000
PPX-TDG,60,20211214,180000,689.7000000,691.6000000,689.7000000,691.6000000
PPX-TDG,60,20211214,190000,692.9000000,693.8000000,689.8000000,689.8000000
PPX-TDG,60,20211214,200000,689.8000000,690.5000000,688.5000000,690.5000000
PPX-TDG,60,20211214,220000,689.4000000,689.8000000,689.4000000,689.8000000
PPX-TDG,60,20211214,230000,690.7000000,692.0000000,690.7000000,692.0000000
PPX-TDG,60,20211215,000000,694.2000000,694.2000000,693.4000000,693.4000000
PPX-TDG,60,20211215,010000,693.2000000,693.2000000,693.2000000,693.2000000
PPX-TDG,60,20211215,110000,691.4000000,691.4000000,691.4000000,691.4000000
PPX-TDG,60,20211215,120000,695.3000000,695.6000000,695.3000000,695.6000000
PPX-TDG,60,20211215,130000,694.8000000,695.2000000,694.8000000,695.2000000
PPX-TDG,60,20211215,140000,695.2000000,695.2000000,695.2000000,695.2000000
PPX-TDG,60,20211215,160000,696.2000000,696.2000000,695.5000000,695.5000000
PPX-TDG,60,20211215,170000,696.0000000,696.0000000,696.0000000,696.0000000
PPX-TDG,60,20211215,180000,694.8000000,694.8000000,693.7000000,693.7000000
PPX-TDG,60,20211215,190000,694.1000000,694.1000000,694.1000000,694.1000000
PPX-TDG,60,20211215,200000,694.8000000,694.8000000,694.8000000,694.8000000
PPX-TDG,60,20211215,210000,696.9000000,696.9000000,696.9000000,696.9000000
PPX-TDG,60,20211215,230000,698.5000000,698.5000000,698.5000000,698.5000000
PPX-TDG,60,20211216,000000,699.8000000,702.4000000,699.8000000,701.4000000
PPX-TDG,60,20211216,010000,703.6000000,703.6000000,703.6000000,703.6000000
PPX-TDG,60,20211216,110000,703.9000000,706.0000000,703.9000000,705.9000000
PPX-TDG,60,20211216,120000,708.6000000,708.6000000,705.7000000,705.7000000
PPX-TDG,60,20211216,140000,700.5000000,701.2000000,699.0000000,701.2000000
