<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
SBER,60,20221111,110000,137.7100000,138.4200000,135.1300000,135.3500000
SBER,60,20221111,120000,135.3600000,136.5000000,135.2000000,135.6000000
SBER,60,20221111,130000,135.6100000,136.4400000,135.3300000,135.9800000
SBER,60,20221111,140000,135.9700000,137.4700000,135.7700000,136.9200000
SBER,60,20221111,150000,136.9100000,137.2900000,136.2000000,137.0300000
SBER,60,20221111,160000,137.0300000,137.4700000,136.7400000,137.3200000
SBER,60,20221111,170000,137.3200000,137.3400000,136.5000000,136.6800000
SBER,60,20221111,180000,136.6700000,136.8400000,135.6700000,136.3000000
SBER,60,20221111,190000,136.3200000,136.8800000,136.1800000,136.7400000
SBER,60,20221111,200000,136.6000000,137.2100000,136.4200000,136.8900000
SBER,60,20221111,210000,136.9000000,136.9700000,136.7900000,136.8200000
SBER,60,20221111,220000,136.8000000,137.1400000,136.5600000,136.8900000
SBER,60,20221111,230000,136.8800000,137.0000000,136.7000000,136.9100000
SBER,60,20221112,000000,136.9200000,136.9900000,136.8300000,136.9800000
SBER,60,20221114,110000,137.4100000,137.5000000,135.8300000,136.5300000
SBER,60,20221114,120000,136.5300000,139.4700000,136.2400000,138.7300000
SBER,60,20221114,130000,138.7300000,139.8800000,138.5100000,139.6200000
SBER,60,20221114,140000,139.6200000,140.1700000,138.8700000,139.2900000
SBER,60,20221114,150000,139.2900000,139.4700000,138.6800000,138.7200000
SBER,60,20221114,160000,138.7100000,139.7900000,138.6900000,139.3400000
SBER,60,20221114,170000,139.3400000,140.3500000,139.2100000,139.4800000
SBER,60,20221114,180000,139.4800000,140.1100000,139.4200000,139.9000000
SBER,60,20221114,190000,139.8900000,140.2000000,139.6000000,139.8200000
SBER,60,20221114,200000,139.8900000,140.7000000,139.8000000,139.8200000
SBER,60,20221114,210000,139.8200000,139.9500000,139.7000000,139.9000000
SBER,60,20221114,220000,139.9100000,140.1200000,139.8600000,139.9900000
SBER,60,20221114,230000,140.0000000,140.1500000,139.7000000,139.7400000
SBER,60,20221115,000000,139.7400000,139.9000000,139.7000000,139.8000000
SBER,60,20221115,110000,140.4000000,141.0000000,138.8800000,140.5000000
SBER,60,20221115,120000,140.5000000,140.9000000,137.8100000,137.9000000
SBER,60,20221115,130000,137.9100000,138.5000000,137.1000000,138.4500000
SBER,60,20221115,140000,138.4800000,139.1800000,137.9000000,138.0700000
SBER,60,20221115,150000,138.0700000,138.2800000,137.2200000,137.9200000
SBER,60,20221115,160000,137.9400000,138.4600000,137.1000000,137.5000000
SBER,60,20221115,170000,137.4900000,138.4000000,137.4000000,138.2300000
SBER,60,20221115,180000,138.2300000,138.4800000,137.8400000,138.1700000
SBER,60,20221115,190000,138.1700000,138.4400000,137.7300000,137.9000000
SBER,60,20221115,200000,137.8000000,137.9800000,137.5000000,137.8200000
SBER,60,20221115,210000,137.8500000,137.9000000,137.4600000,137.6300000
SBER,60,20221115,220000,137.6200000,137.8700000,133.2000000,134.3700000
SBER,60,20221115,230000,134.3700000,136.9000000,130.8600000,136.5300000
SBER,60,20221116,000000,136.5300000,136.5900000,135.1100000,135.6600000
SBER,60,20221116,110000,136.9900000,138.2000000,136.3200000,137.9800000
SBER,60,20221116,120000,137.9800000,138.0000000,137.4000000,137.4200000
SBER,60,20221116,130000,137.4200000,139.3000000,137.2900000,138.7400000
SBER,60,20221116,140000,138.7100000,139.2000000,138.4200000,138.8900000
SBER,60,20221116,150000,138.8900000,138.9800000,138.3200000,138.7900000
SBER,60,20221116,160000,138.7900000,139.7300000,138.5200000,139.2300000
SBER,60,20221116,170000,139.2400000,139.4400000,138.6000000,138.9000000
SBER,60,20221116,180000,138.9000000,139.0700000,138.1400000,138.5200000
SBER,60,20221116,190000,138.5300000,139.1900000,138.4600000,139.0000000
SBER,60,20221116,200000,138.9900000,139.4900000,138.6100000,138.7800000
SBER,60,20221116,210000,138.7500000,138.9800000,138.4100000,138.8500000
SBER,60,20221116,220000,138.8500000,138.9800000,138.6600000,138.9400000
SBER,60,20221116,230000,138.9400000,139.2100000,138.9100000,139.0200000
SBER,60,20221117,000000,139.0300000,139.2100000,138.9300000,139.1800000
SBER,60,20221117,110000,139.1100000,140.3500000,138.6400000,139.6000000
SBER,60,20221117,120000,139.6000000,139.8700000,138.7800000,139.4800000
SBER,60,20221117,130000,139.4900000,139.4900000,139.0700000,139.0800000
SBER,60,20221117,140000,139.0700000,139.1500000,137.3600000,137.9800000
SBER,60,20221117,150000,138.0000000,138.4100000,137.6900000,137.8500000
SBER,60,20221117,160000,137.8400000,138.1500000,137.5000000,137.8300000
SBER,60,20221117,170000,137.8300000,137.8600000,136.6000000,136.8900000
SBER,60,20221117,180000,136.8800000,137.8500000,136.6500000,137.4000000
SBER,60,20221117,190000,137.4200000,137.8100000,137.2400000,137.6000000
SBER,60,20221117,200000,137.5900000,137.7500000,137.2000000,137.5600000
SBER,60,20221117,210000,137.5700000,137.9300000,137.5600000,137.6400000
SBER,60,20221117,220000,137.6400000,137.8800000,137.6000000,137.8100000
SBER,60,20221117,230000,137.8100000,137.9000000,137.4500000,137.5600000
SBER,60,20221118,000000,137.5800000,137.7400000,137.4600000,137.5700000
SBER,60,20221118,110000,137.1000000,137.7600000,136.7000000,137.7500000
SBER,60,20221118,120000,137.7500000,137.8100000,136.3600000,136.6500000
SBER,60,20221118,130000,136.6500000,136.9600000,136.0600000,136.2300000
SBER,60,20221118,140000,136.2100000,136.4700000,135.8400000,136.1200000
SBER,60,20221118,150000,136.1200000,136.6900000,136.0000000,136.4900000
SBER,60,20221118,160000,136.5000000,136.5300000,136.1000000,136.4400000
SBER,60,20221118,170000,136.4600000,136.6000000,135.8700000,136.0100000
SBER,60,20221118,180000,136.0200000,136.9300000,135.9000000,136.3300000
SBER,60,20221118,190000,136.3000000,136.4900000,136.0100000,136.0100000
